x	61	1	0.8436	0.8536	0.8421	0.8652	0.7075	0.9214
x	61	2	0.8394	0.8430	0.8504	0.8356	0.6861	0.9147
x	61	3	0.8362	0.8343	0.8412	0.8273	0.6686	0.9002
x	61	4	0.8426	0.8444	0.8467	0.8421	0.6888	0.9206
x	61	5	0.8417	0.8430	0.8523	0.8338	0.6862	0.9179
x	61	6	0.8403	0.8504	0.8495	0.8513	0.7008	0.9199
x	61	7	0.8449	0.8393	0.8190	0.8596	0.6792	0.9127
x	101	1	0.8546	0.8250	0.8596	0.7904	0.6516	0.8985
x	101	2	0.8519	0.8167	0.8273	0.8061	0.6336	0.8887
x	101	3	0.8311	0.8010	0.8366	0.7655	0.6036	0.8754
x	101	4	0.8509	0.8163	0.8301	0.8024	0.6327	0.8888
x	101	5	0.8537	0.8121	0.8449	0.7793	0.6255	0.8920
x	101	6	0.8533	0.8329	0.8513	0.8144	0.6662	0.8992
x	101	7	0.8537	0.8241	0.8606	0.7876	0.6499	0.8930
x	141	1	0.8353	0.8278	0.8440	0.8116	0.6559	0.9058
x	141	2	0.8320	0.8236	0.8264	0.8209	0.6473	0.8995
x	141	3	0.8223	0.8135	0.8264	0.8006	0.6272	0.8898
x	141	4	0.8357	0.8250	0.8606	0.7895	0.6517	0.9031
x	141	5	0.8362	0.8370	0.8163	0.8578	0.6746	0.9066
x	141	6	0.8334	0.8352	0.8606	0.8098	0.6712	0.9057
x	141	7	0.8385	0.8259	0.8393	0.8126	0.6521	0.9046
x	181	1	0.8302	0.8458	0.8246	0.8670	0.6922	0.9228
x	181	2	0.8228	0.8310	0.8153	0.8467	0.6624	0.9132
x	181	3	0.8136	0.8338	0.8772	0.7904	0.6701	0.9068
x	181	4	0.8293	0.8467	0.8661	0.8273	0.6940	0.9191
x	181	5	0.8279	0.8444	0.8319	0.8569	0.6890	0.9192
x	181	6	0.8279	0.8523	0.8827	0.8218	0.7058	0.9230
x	181	7	0.8316	0.8449	0.8643	0.8255	0.6903	0.9198
x	221	1	0.8403	0.8296	0.8209	0.8384	0.6594	0.9024
x	221	2	0.8362	0.8250	0.8476	0.8024	0.6507	0.8947
x	221	3	0.8279	0.7895	0.7572	0.8218	0.5802	0.8789
x	221	4	0.8403	0.8098	0.8033	0.8163	0.6196	0.8974
x	221	5	0.8454	0.8273	0.8412	0.8135	0.6549	0.9062
x	221	6	0.8413	0.8250	0.8163	0.8338	0.6501	0.9068
x	221	7	0.8431	0.8204	0.8042	0.8366	0.6411	0.9008
x	261	1	0.8316	0.8292	0.8393	0.8190	0.6585	0.9011
x	261	2	0.8223	0.8283	0.8338	0.8227	0.6566	0.8983
x	261	3	0.8094	0.8181	0.8061	0.8301	0.6364	0.8872
x	261	4	0.8293	0.8370	0.8476	0.8264	0.6742	0.9067
x	261	5	0.8302	0.8389	0.8421	0.8356	0.6778	0.9111
x	261	6	0.8334	0.8278	0.8181	0.8375	0.6557	0.9043
x	261	7	0.8353	0.8444	0.8523	0.8366	0.6889	0.9106
x	301	1	0.8311	0.8347	0.8181	0.8513	0.6698	0.9079
x	301	2	0.8265	0.8310	0.8246	0.8375	0.6621	0.9105
x	301	3	0.8090	0.8089	0.8107	0.8070	0.6177	0.8892
x	301	4	0.8279	0.8310	0.8292	0.8329	0.6621	0.9037
x	301	5	0.8339	0.8407	0.8744	0.8070	0.6830	0.9173
x	301	6	0.8348	0.8458	0.8283	0.8633	0.6920	0.9197
x	301	7	0.8366	0.8490	0.8319	0.8661	0.6985	0.9195
