m	61	1	0.8465	0.8268	0.8033	0.8504	0.6544	0.9039
m	61	2	0.8457	0.8301	0.8163	0.8439	0.6604	0.9087
m	61	3	0.8367	0.8333	0.8016	0.8650	0.6680	0.9042
m	61	4	0.8457	0.8268	0.8033	0.8504	0.6544	0.9061
m	61	5	0.8489	0.8350	0.8228	0.8472	0.6701	0.9117
m	61	6	0.8457	0.8447	0.8390	0.8504	0.6895	0.9112
m	61	7	0.8473	0.8293	0.8065	0.8520	0.6592	0.9083
m	101	1	0.8538	0.8317	0.8407	0.8228	0.6635	0.9036
m	101	2	0.8513	0.8179	0.8244	0.8114	0.6358	0.8923
m	101	3	0.8335	0.7927	0.8488	0.7366	0.5891	0.8698
m	101	4	0.8546	0.8195	0.8130	0.8260	0.6391	0.8913
m	101	5	0.8611	0.8203	0.8211	0.8195	0.6407	0.8960
m	101	6	0.8570	0.8114	0.8000	0.8228	0.6229	0.8924
m	101	7	0.8570	0.8130	0.8130	0.8130	0.6260	0.8912
m	141	1	0.8359	0.8398	0.8423	0.8374	0.6797	0.9036
m	141	2	0.8327	0.8293	0.8455	0.8130	0.6589	0.9049
m	141	3	0.8262	0.8000	0.7837	0.8163	0.6003	0.8826
m	141	4	0.8359	0.8163	0.8179	0.8146	0.6325	0.8916
m	141	5	0.8359	0.8390	0.8634	0.8146	0.6789	0.9043
m	141	6	0.8367	0.8195	0.8341	0.8049	0.6393	0.8972
m	141	7	0.8416	0.8382	0.8130	0.8634	0.6773	0.9116
m	181	1	0.8343	0.8301	0.7935	0.8667	0.6619	0.9004
m	181	2	0.8302	0.8398	0.8423	0.8374	0.6797	0.9153
m	181	3	0.8253	0.8341	0.8276	0.8407	0.6683	0.8991
m	181	4	0.8335	0.8260	0.7724	0.8797	0.6558	0.9045
m	181	5	0.8400	0.8488	0.8341	0.8634	0.6979	0.9183
m	181	6	0.8367	0.8301	0.7675	0.8927	0.6654	0.9052
m	181	7	0.8343	0.8423	0.7919	0.8927	0.6881	0.9201
m	221	1	0.8440	0.8260	0.8114	0.8407	0.6523	0.9047
m	221	2	0.8383	0.8211	0.7545	0.8878	0.6481	0.9074
m	221	3	0.8278	0.7992	0.7854	0.8130	0.5986	0.8808
m	221	4	0.8400	0.8041	0.7610	0.8472	0.6104	0.8855
m	221	5	0.8392	0.8325	0.8260	0.8390	0.6651	0.9054
m	221	6	0.8440	0.8171	0.7756	0.8585	0.6363	0.8992
m	221	7	0.8416	0.8439	0.8309	0.8569	0.6880	0.9110
m	261	1	0.8367	0.8317	0.8504	0.8130	0.6639	0.8922
m	261	2	0.8318	0.8309	0.8553	0.8065	0.6626	0.8961
m	261	3	0.8132	0.8057	0.7789	0.8325	0.6123	0.8802
m	261	4	0.8335	0.8244	0.8130	0.8358	0.6489	0.8928
m	261	5	0.8400	0.8293	0.8455	0.8130	0.6589	0.8995
m	261	6	0.8416	0.8341	0.8341	0.8341	0.6683	0.9020
m	261	7	0.8400	0.8317	0.8179	0.8455	0.6637	0.8977
m	301	1	0.8253	0.8285	0.8276	0.8293	0.6569	0.9068
m	301	2	0.8335	0.8366	0.7951	0.8780	0.6755	0.9094
m	301	3	0.8042	0.8033	0.8260	0.7805	0.6071	0.8762
m	301	4	0.8400	0.8220	0.8033	0.8407	0.6444	0.9038
m	301	5	0.8375	0.8317	0.8618	0.8016	0.6646	0.9104
m	301	6	0.8302	0.8423	0.8569	0.8276	0.6848	0.9150
